CustomerID,Age,Gender,Tenure_Months,Monthly_Bill_GBP,Data_Usage_GB,Call_Duration_Mins,Support_Calls,Contract_Type,Payment_Method
TEL-2688,81,Female,9,30.59,1.2,117.0,3,Month-to-month,Credit card
TEL-1023,79,Female,39,76.52,465.57,37.0,3,Two year,Credit card
TEL-1479,62,Female,20,49.97,4.24,885.0,2,Two year,Electronic check
TEL-1111,32,Male,54,90.05,471.42,33.0,0,Month-to-month,Electronic check
TEL-2365,68,Non-binary,68,25.62,1.35,105.0,2,One year,Credit card
TEL-2897,58,Male,2,60.88,10.86,383.0,5,Two year,Electronic check
TEL-2590,63,Male,28,21.38,2.82,74.0,0,One year,Mailed check
TEL-2880,80,Non-binary,2,76.65,33.82,317.0,7,One year,Bank transfer
TEL-1743,40,Female,14,56.17,3.27,922.0,2,Month-to-month,Mailed check
TEL-1962,24,Non-binary,67,59.27,7.98,840.0,0,One year,Credit card
TEL-1453,63,Male,3,53.48,3.02,852.0,0,One year,Bank transfer
TEL-1821,48,Female,21,48.96,5.64,647.0,1,One year,Bank transfer
TEL-2176,64,Female,17,21.7,2.56,90.0,0,Month-to-month,Credit card
TEL-1721,43,Male,15,46.6,6.09,828.0,1,Month-to-month,Bank transfer
TEL-2364,28,Male,9,20.28,3.21,146.0,0,Month-to-month,Bank transfer
TEL-1651,78,Non-binary,65,55.02,2.71,760.0,4,One year,Mailed check
TEL-1785,31,Male,63,42.1,3.18,640.0,3,One year,Credit card
TEL-2183,79,Male,64,29.4,2.62,99.0,0,Month-to-month,Bank transfer
TEL-1595,55,Female,10,60.55,0.28,929.0,2,One year,Electronic check
TEL-2575,40,Non-binary,27,23.91,2.85,151.0,0,Month-to-month,Credit card
TEL-1716,68,Female,17,30.0,2.74,655.0,4,Two year,Mailed check
TEL-2609,38,Female,72,26.39,2.18,170.0,1,Month-to-month,Credit card
TEL-2653,38,Male,34,27.31,2.43,132.0,0,Two year,Bank transfer
TEL-2918,25,Female,4,49.19,26.69,441.0,6,Two year,Electronic check
TEL-1210,55,Male,71,81.31,417.78,34.0,0,Two year,Electronic check
TEL-2103,54,Male,45,23.96,1.92,130.0,1,Month-to-month,Bank transfer
TEL-1333,75,Non-binary,7,75.21,544.94,35.0,2,One year,Bank transfer
TEL-2116,72,Non-binary,23,33.85,1.4,64.0,0,Month-to-month,Electronic check
TEL-1760,77,Female,31,40.5,6.28,892.0,8,One year,Electronic check
TEL-2067,74,Female,70,38.23,2.66,121.0,0,One year,Electronic check
TEL-2445,67,Male,40,31.25,2.49,99.0,0,One year,Credit card
TEL-2292,21,Male,9,27.13,0.69,120.0,1,One year,Credit card
TEL-2518,52,Male,8,23.79,0.69,180.0,0,Month-to-month,Electronic check
TEL-1217,58,Non-binary,27,79.09,469.13,60.0,1,Two year,Electronic check
TEL-2132,27,Female,43,19.11,0.33,37.0,0,Two year,Mailed check
TEL-1831,62,Non-binary,59,28.83,6.02,1049.0,3,Month-to-month,Mailed check
TEL-1801,24,Female,11,53.49,6.38,924.0,2,Two year,Mailed check
TEL-1224,25,Male,67,81.69,440.59,28.0,1,Month-to-month,Bank transfer
TEL-2999,67,Non-binary,55,600.0,6.68,331.0,4,One year,Bank transfer
TEL-1519,41,Male,44,49.33,2.01,578.0,1,Month-to-month,Credit card
TEL-2225,65,Female,17,26.68,1.64,186.0,0,Month-to-month,Mailed check
TEL-2403,43,Male,49,21.63,4.85,77.0,0,One year,Bank transfer
TEL-1813,44,Non-binary,28,41.45,2.35,906.0,2,Two year,Mailed check
TEL-2010,48,Female,12,28.91,3.0,102.0,1,Month-to-month,Bank transfer
TEL-1235,71,Non-binary,35,74.21,538.33,59.0,0,Two year,Electronic check
TEL-2647,18,Male,62,24.05,1.5,73.0,3,Two year,Mailed check
TEL-1482,37,Non-binary,1,52.59,3.07,929.0,2,One year,Credit card
TEL-2104,60,Male,43,26.39,3.55,88.0,0,Two year,Credit card
TEL-2332,63,Male,24,24.81,3.85,109.0,0,Two year,Credit card
TEL-2389,23,Male,44,21.74,2.5,74.0,0,Two year,Bank transfer
TEL-1925,64,Female,35,50.63,4.0,690.0,3,Month-to-month,Credit card
TEL-1011,19,Non-binary,6,85.69,374.37,89.0,1,One year,Bank transfer
TEL-2381,83,Female,63,29.37,1.28,70.0,1,One year,Bank transfer
TEL-1312,69,Male,13,78.95,386.59,55.0,1,One year,Electronic check
TEL-2205,65,Female,71,20.1,2.23,33.0,1,One year,Credit card
TEL-1635,78,Male,67,46.11,5.02,699.0,3,Month-to-month,Electronic check
TEL-1663,31,Non-binary,56,40.94,2.76,930.0,1,One year,Electronic check
TEL-1959,31,Female,40,54.72,4.99,787.0,2,One year,Credit card
TEL-2824,77,Female,23,57.82,0.71,252.0,5,Two year,Credit card
TEL-1124,23,Male,31,95.29,485.16,49.0,1,Two year,Bank transfer
TEL-1624,84,Male,46,53.91,2.83,602.0,2,Month-to-month,Bank transfer
TEL-1942,24,Male,31,36.94,3.9,859.0,0,One year,Credit card
TEL-1643,66,Male,53,55.72,3.19,643.0,1,One year,Credit card
TEL-1638,18,Male,52,45.42,7.19,592.0,5,Month-to-month,Credit card
TEL-1033,38,Female,62,83.58,505.93,45.0,2,Month-to-month,Bank transfer
TEL-2310,74,Non-binary,6,17.04,2.55,168.0,0,Month-to-month,Bank transfer
TEL-1706,26,Female,26,55.33,3.72,509.0,0,Month-to-month,Credit card
TEL-1933,46,Non-binary,10,36.41,0.01,848.0,4,Two year,Electronic check
TEL-2338,41,Female,50,18.7,0.08,121.0,0,Month-to-month,Electronic check
TEL-2958,70,Non-binary,10,74.14,3.82,302.0,5,Two year,Credit card
TEL-1861,18,Non-binary,23,42.18,-0.68,773.0,4,Month-to-month,Electronic check
TEL-1340,75,Non-binary,35,69.9,472.52,66.0,2,One year,Mailed check
TEL-2356,81,Non-binary,59,34.91,2.27,-7.0,0,Month-to-month,Mailed check
TEL-2567,50,Non-binary,16,21.41,1.5,76.0,0,One year,Bank transfer
TEL-1697,50,Female,31,50.33,1.91,683.0,0,Month-to-month,Credit card
TEL-2432,80,Male,44,20.02,1.44,107.0,1,Two year,Electronic check
TEL-2599,29,Non-binary,59,26.97,1.29,101.0,1,Two year,Mailed check
TEL-2497,60,Non-binary,60,25.63,1.64,92.0,0,Two year,Mailed check
TEL-1304,42,Female,43,78.59,402.44,81.0,0,Two year,Credit card
TEL-2073,38,Non-binary,72,24.61,2.33,114.0,1,One year,Electronic check
TEL-2616,32,Female,1,22.57,2.6,98.0,1,Month-to-month,Credit card
TEL-1699,39,Non-binary,60,38.69,4.99,783.0,1,Month-to-month,Credit card
TEL-2797,27,Female,17,24.19,1.82,104.0,0,Month-to-month,Credit card
TEL-1819,55,Male,10,51.91,6.93,601.0,0,Two year,Bank transfer
TEL-2343,32,Non-binary,36,22.97,-1.1,172.0,0,One year,Credit card
TEL-1954,49,Female,2,45.7,5.12,846.0,0,Month-to-month,Mailed check
TEL-2585,66,Male,25,26.96,1.85,64.0,0,One year,Bank transfer
TEL-1784,56,Male,6,28.72,6.64,730.0,2,Two year,Credit card
TEL-2000,35,Male,51,30.01,3.48,62.0,0,One year,Credit card
TEL-2881,38,Non-binary,36,51.23,24.76,324.0,7,Month-to-month,Electronic check
TEL-2203,55,Male,4,26.02,-0.48,87.0,0,Month-to-month,Electronic check
TEL-2255,34,Non-binary,39,16.97,0.74,91.0,0,Two year,Bank transfer
TEL-1540,42,Non-binary,6,41.55,6.22,528.0,0,Two year,Mailed check
TEL-1001,32,Non-binary,57,86.16,337.53,43.0,1,One year,Credit card
TEL-1681,42,Non-binary,47,51.16,5.59,649.0,0,One year,Bank transfer
TEL-1028,72,Non-binary,24,92.33,407.42,74.0,1,One year,Electronic check
TEL-2737,79,Female,29,19.87,3.09,103.0,0,Month-to-month,Bank transfer
TEL-1973,64,Male,30,40.19,6.61,756.0,1,One year,Bank transfer
TEL-2267,34,Male,3,25.17,0.97,76.0,2,One year,Mailed check
TEL-1427,78,Non-binary,60,41.35,4.53,649.0,2,Month-to-month,Electronic check
TEL-1230,76,Non-binary,59,96.6,386.45,44.0,2,Month-to-month,Mailed check
TEL-1561,22,Non-binary,68,54.2,7.63,831.0,3,One year,Electronic check
TEL-2791,38,Non-binary,54,25.83,3.96,46.0,2,Two year,Electronic check
TEL-1151,20,Male,42,84.86,450.65,53.0,2,Month-to-month,Bank transfer
TEL-1114,53,Female,59,66.79,429.45,45.0,0,One year,Bank transfer
TEL-2415,62,Female,46,25.57,3.16,6.0,0,Two year,Electronic check
TEL-2637,48,Non-binary,24,26.23,2.38,83.0,0,Two year,Electronic check
TEL-1896,50,Female,43,51.98,4.74,903.0,2,Month-to-month,Credit card
TEL-2363,25,Female,32,19.34,2.14,115.0,0,One year,Electronic check
TEL-1887,51,Non-binary,16,38.5,6.77,864.0,1,Month-to-month,Mailed check
TEL-2749,40,Male,72,24.76,3.43,104.0,1,Two year,Electronic check
TEL-2588,28,Female,24,21.3,1.55,89.0,0,Two year,Mailed check
TEL-1336,40,Female,56,76.95,492.84,60.0,4,Two year,Mailed check
TEL-2735,64,Female,49,24.97,2.68,82.0,0,Two year,Mailed check
TEL-2847,21,Non-binary,41,51.93,31.58,342.0,5,One year,Bank transfer
TEL-1168,41,Male,50,94.08,431.74,60.0,1,Month-to-month,Credit card
TEL-1331,80,Male,46,76.48,464.94,33.0,0,One year,Mailed check
TEL-2928,75,Male,26,67.05,8.54,515.0,11,Two year,Mailed check
TEL-2078,43,Non-binary,29,22.98,2.2,146.0,1,Month-to-month,Credit card
TEL-1720,25,Male,44,59.15,4.61,843.0,2,Two year,Bank transfer
TEL-2344,42,Female,23,17.86,3.42,40.0,1,Two year,Credit card
TEL-1578,51,Non-binary,63,38.39,7.5,974.0,4,One year,Mailed check
TEL-1648,73,Non-binary,69,62.95,6.29,759.0,2,One year,Bank transfer
TEL-1944,82,Male,11,61.69,7.63,731.0,1,One year,Electronic check
TEL-1058,51,Non-binary,67,92.16,484.4,54.0,1,One year,Electronic check
TEL-1751,80,Female,45,41.98,5.02,1180.0,1,Two year,Electronic check
TEL-1002,78,Non-binary,29,88.9,480.44,51.0,1,Two year,Mailed check
TEL-1238,44,Male,24,88.6,424.45,60.0,0,Month-to-month,Electronic check
TEL-2094,35,Female,33,19.14,2.22,104.0,0,Two year,Mailed check
TEL-1410,53,Male,13,49.3,5.43,973.0,2,One year,Bank transfer
TEL-1141,41,Female,6,79.11,481.33,13.0,2,One year,Bank transfer
TEL-2246,56,Male,72,21.79,1.25,97.0,2,Two year,Electronic check
TEL-1588,64,Male,25,45.77,5.1,601.0,2,Two year,Bank transfer
TEL-1067,43,Non-binary,25,76.87,422.95,8.0,1,Two year,Bank transfer
TEL-2346,26,Female,6,20.21,1.26,115.0,1,Month-to-month,Mailed check
TEL-1665,73,Male,31,57.82,5.22,859.0,1,One year,Bank transfer
TEL-2102,20,Female,19,35.03,1.93,134.0,1,One year,Electronic check
TEL-2523,37,Male,42,17.07,2.05,112.0,1,One year,Electronic check
TEL-2743,33,Female,56,28.66,2.72,62.0,1,One year,Mailed check
TEL-2417,70,Non-binary,55,27.39,2.44,143.0,1,Two year,Mailed check
TEL-2272,82,Male,58,23.31,0.6,53.0,2,One year,Mailed check
TEL-1287,41,Non-binary,54,89.17,376.07,98.0,1,Two year,Electronic check
TEL-2767,79,Non-binary,30,23.17,1.71,43.0,0,Two year,Electronic check
TEL-2109,21,Non-binary,52,20.33,1.27,47.0,0,Month-to-month,Bank transfer
TEL-1712,23,Non-binary,59,32.91,6.41,524.0,0,Month-to-month,Credit card
TEL-2634,24,Non-binary,61,25.63,0.81,140.0,1,Month-to-month,Credit card
TEL-2423,39,Female,64,26.02,3.29,148.0,1,Month-to-month,Mailed check
TEL-1214,71,Non-binary,54,78.65,422.34,61.0,1,One year,Credit card
TEL-2916,61,Female,49,64.52,4.79,429.0,6,Two year,Electronic check
TEL-2171,20,Male,29,19.39,3.18,145.0,0,One year,Electronic check
TEL-2500,81,Female,63,25.01,2.27,61.0,2,Month-to-month,Bank transfer
TEL-2001,59,Female,36,22.71,2.06,105.0,1,Two year,Credit card
TEL-2418,72,Male,26,25.09,1.76,113.0,1,Month-to-month,Bank transfer
TEL-2220,23,Female,47,24.45,1.77,88.0,0,Month-to-month,Electronic check
TEL-2479,22,Non-binary,54,17.35,0.94,118.0,0,Month-to-month,Electronic check
TEL-2603,61,Male,59,26.0,2.03,83.0,0,Month-to-month,Bank transfer
TEL-2544,22,Non-binary,55,19.54,2.76,134.0,0,Month-to-month,Bank transfer
TEL-1707,20,Male,47,56.17,5.84,574.0,1,Month-to-month,Electronic check
TEL-1012,81,Female,18,86.93,383.46,15.0,0,One year,Electronic check
TEL-1946,84,Non-binary,71,56.73,5.05,567.0,3,One year,Mailed check
TEL-2947,84,Male,7,45.83,33.68,430.0,7,One year,Mailed check
TEL-1274,83,Male,14,75.34,441.19,78.0,0,One year,Electronic check
TEL-1075,18,Female,28,88.51,455.54,41.0,0,One year,Credit card
TEL-1874,64,Non-binary,21,48.49,4.02,694.0,2,One year,Mailed check
TEL-1562,20,Non-binary,49,43.0,8.86,883.0,4,One year,Credit card
TEL-2770,72,Female,38,32.48,5.09,86.0,0,Two year,Bank transfer
TEL-1334,72,Female,45,82.28,454.35,71.0,3,Month-to-month,Bank transfer
TEL-1929,80,Female,53,38.85,6.19,711.0,1,Month-to-month,Credit card
TEL-1978,29,Female,60,55.6,3.54,670.0,1,Month-to-month,Credit card
TEL-1194,19,Female,1,88.1,449.86,70.0,0,Two year,Bank transfer
TEL-2837,28,Male,2,71.92,13.76,353.0,6,Two year,Electronic check
TEL-1867,18,Male,29,44.39,3.41,994.0,3,Two year,Mailed check
TEL-1040,70,Male,50,63.95,430.88,34.0,2,Month-to-month,Mailed check
TEL-2776,77,Non-binary,19,35.3,2.07,79.0,0,Month-to-month,Credit card
TEL-2372,50,Female,48,33.84,2.76,141.0,0,Month-to-month,Credit card
TEL-1430,45,Male,18,58.54,6.26,988.0,2,One year,Electronic check
TEL-1204,37,Female,50,87.19,545.01,30.0,2,One year,Mailed check
TEL-1044,25,Female,48,84.42,451.7,51.0,1,One year,Mailed check
TEL-2014,70,Male,10,21.98,2.15,76.0,0,One year,Credit card
TEL-1936,49,Non-binary,60,54.2,5.3,941.0,1,Two year,Electronic check
TEL-1522,53,Non-binary,15,41.81,4.63,774.0,1,Month-to-month,Bank transfer
TEL-2179,37,Non-binary,45,18.82,0.93,158.0,0,Month-to-month,Credit card
TEL-2112,50,Non-binary,72,24.49,2.4,94.0,0,Two year,Bank transfer
TEL-1733,81,Male,61,52.03,3.68,804.0,1,Two year,Mailed check
TEL-2846,33,Male,41,36.44,20.75,472.0,6,Month-to-month,Mailed check
TEL-1381,78,Male,36,75.95,433.43,32.0,0,Two year,Electronic check
TEL-2460,38,Non-binary,14,30.91,1.48,189.0,1,One year,Credit card
TEL-1060,31,Non-binary,58,106.85,447.15,12.0,1,Month-to-month,Mailed check
TEL-2611,64,Non-binary,68,21.96,2.26,96.0,0,Month-to-month,Credit card
TEL-2351,19,Male,62,32.84,3.0,67.0,0,One year,Credit card
TEL-1051,23,Male,26,80.6,449.0,51.0,3,One year,Credit card
TEL-2280,69,Female,44,13.31,3.62,176.0,1,One year,Mailed check
TEL-1015,50,Male,30,91.83,458.08,-0.0,0,Two year,Bank transfer
TEL-2561,70,Non-binary,55,14.62,1.76,49.0,0,Two year,Credit card
TEL-2196,59,Male,53,26.21,1.6,41.0,1,One year,Credit card
TEL-1353,68,Female,19,67.53,447.37,21.0,1,One year,Electronic check
TEL-2113,33,Female,72,27.7,2.11,138.0,1,Month-to-month,Electronic check
TEL-1193,77,Female,8,73.72,400.09,38.0,1,One year,Bank transfer
TEL-1956,33,Non-binary,4,50.62,8.95,975.0,3,One year,Credit card
TEL-2790,32,Male,61,24.22,2.46,72.0,0,Month-to-month,Bank transfer
TEL-1065,70,Female,17,68.08,418.34,26.0,1,Two year,Bank transfer
TEL-2724,19,Non-binary,30,21.16,3.16,132.0,0,Two year,Credit card
TEL-2411,42,Female,28,24.0,1.6,85.0,0,One year,Bank transfer
TEL-2074,42,Male,1,23.97,1.03,77.0,1,Two year,Mailed check
TEL-1892,71,Non-binary,45,42.4,4.34,785.0,1,Two year,Bank transfer
TEL-1590,31,Non-binary,67,41.56,5.76,1004.0,2,Two year,Bank transfer
TEL-1949,84,Non-binary,12,37.18,7.31,668.0,3,Two year,Mailed check
TEL-2927,38,Female,26,39.39,13.82,328.0,8,One year,Credit card
TEL-1215,52,Non-binary,38,84.59,437.3,56.0,2,Two year,Bank transfer
TEL-2635,56,Male,31,24.09,0.79,108.0,1,One year,Electronic check
TEL-1920,33,Non-binary,9,33.89,6.52,650.0,2,Month-to-month,Credit card
TEL-1417,30,Female,63,40.62,3.24,734.0,2,One year,Bank transfer
TEL-1530,44,Female,65,40.77,3.4,736.0,2,One year,Electronic check
TEL-1426,29,Non-binary,38,33.61,6.97,767.0,3,One year,Electronic check
TEL-2738,47,Male,21,19.62,0.88,135.0,0,Two year,Credit card
TEL-2311,20,Non-binary,12,28.06,0.23,72.0,0,Two year,Bank transfer
TEL-1308,39,Female,38,101.19,421.79,48.0,0,Month-to-month,Bank transfer
TEL-1668,40,Female,55,43.06,5.2,537.0,3,Two year,Credit card
TEL-2464,59,Male,24,24.11,3.64,121.0,0,Month-to-month,Bank transfer
TEL-2614,53,Non-binary,7,23.53,1.98,146.0,0,Month-to-month,Credit card
TEL-1408,81,Female,9,32.03,6.06,902.0,0,Two year,Mailed check
TEL-2645,24,Female,8,22.74,3.05,105.0,1,One year,Bank transfer
TEL-1186,74,Female,22,84.08,418.77,51.0,0,Month-to-month,Mailed check
TEL-1350,84,Male,64,79.82,339.59,73.0,0,Two year,Mailed check
TEL-2899,19,Female,9,46.16,23.82,369.0,7,One year,Mailed check
TEL-2646,71,Female,3,28.27,2.35,63.0,0,Month-to-month,Bank transfer
TEL-2248,19,Female,19,23.48,2.31,75.0,1,Two year,Bank transfer
TEL-1767,81,Male,18,49.22,6.41,782.0,1,Month-to-month,Bank transfer
TEL-1990,26,Male,66,40.06,4.28,661.0,2,Two year,Electronic check
TEL-2097,31,Female,35,13.7,0.79,91.0,0,Month-to-month,Bank transfer
TEL-1780,21,Non-binary,32,51.3,8.08,625.0,2,Two year,Credit card
TEL-1471,48,Female,41,52.62,3.16,991.0,2,One year,Credit card
TEL-1401,75,Female,62,34.31,4.11,1089.0,1,Two year,Mailed check
TEL-2802,50,Non-binary,53,73.62,23.15,167.0,8,Two year,Credit card
TEL-1731,18,Male,44,43.21,2.54,876.0,5,Two year,Credit card
TEL-1598,68,Female,5,43.5,4.49,1115.0,1,Two year,Mailed check
TEL-1450,75,Non-binary,53,41.12,7.32,761.0,1,Month-to-month,Mailed check
TEL-1714,21,Female,18,40.23,8.22,820.0,1,One year,Mailed check
TEL-1192,33,Non-binary,28,77.34,463.66,57.0,2,Two year,Bank transfer
TEL-1318,70,Male,54,98.23,535.55,51.0,2,One year,Mailed check
TEL-2572,21,Female,63,18.95,0.72,32.0,0,Month-to-month,Credit card
TEL-2801,71,Non-binary,44,68.75,16.89,225.0,6,Two year,Credit card
TEL-2895,34,Female,17,54.92,13.04,387.0,6,Two year,Electronic check
TEL-1282,56,Non-binary,21,68.73,518.92,103.0,0,Month-to-month,Bank transfer
TEL-2873,30,Non-binary,15,71.64,32.13,337.0,3,Two year,Mailed check
TEL-1027,68,Male,28,81.7,454.55,86.0,1,Two year,Bank transfer
TEL-1615,60,Female,66,38.32,5.46,729.0,2,One year,Credit card
TEL-2835,27,Male,69,53.56,27.9,283.0,7,One year,Bank transfer
TEL-2216,73,Non-binary,18,30.46,2.16,64.0,0,Month-to-month,Electronic check
TEL-1181,50,Female,28,114.18,502.44,62.0,1,One year,Credit card
TEL-1854,26,Female,36,47.55,2.47,808.0,5,One year,Credit card
TEL-1597,47,Male,24,44.76,3.52,761.0,2,One year,Electronic check
TEL-2844,79,Female,29,62.28,17.27,262.0,7,One year,Bank transfer
TEL-1436,70,Female,62,41.27,3.46,1089.0,5,One year,Credit card
TEL-1941,67,Male,39,41.4,4.02,382.0,1,One year,Bank transfer
TEL-1435,69,Non-binary,59,53.01,5.14,714.0,0,One year,Electronic check
TEL-1822,64,Male,45,57.6,3.95,704.0,1,One year,Mailed check
TEL-2750,22,Non-binary,65,24.9,2.07,72.0,0,One year,Credit card
TEL-1132,44,Female,62,74.26,438.64,83.0,2,Month-to-month,Mailed check
TEL-2959,49,Male,16,81.28,18.21,192.0,3,Month-to-month,Credit card
TEL-1473,78,Female,22,38.03,2.89,512.0,0,Two year,Mailed check
TEL-1187,67,Female,53,85.16,487.35,22.0,0,One year,Credit card
TEL-1283,59,Female,44,105.23,416.42,62.0,1,One year,Credit card
TEL-2717,38,Male,43,24.9,4.18,85.0,1,One year,Mailed check
TEL-2224,76,Female,37,36.37,1.37,93.0,0,One year,Electronic check
TEL-1982,55,Female,47,56.6,3.95,710.0,1,Two year,Bank transfer
TEL-2564,83,Male,7,27.33,1.92,114.0,1,Month-to-month,Electronic check
TEL-1147,69,Female,21,84.3,419.27,52.0,1,Month-to-month,Bank transfer
TEL-2530,73,Male,71,32.31,3.77,83.0,0,Month-to-month,Bank transfer
TEL-2860,44,Male,6,62.59,43.62,416.0,5,One year,Electronic check
TEL-1926,83,Male,57,53.23,8.06,762.0,2,One year,Electronic check
TEL-2037,71,Non-binary,69,25.85,2.88,133.0,0,Two year,Mailed check
TEL-1566,54,Non-binary,13,55.34,5.42,806.0,1,Month-to-month,Electronic check
TEL-1208,41,Male,59,95.4,508.38,82.0,0,Two year,Bank transfer
TEL-1266,71,Female,51,92.51,308.35,94.0,1,Two year,Bank transfer
TEL-1251,61,Male,43,89.16,497.62,20.0,1,Month-to-month,Electronic check
TEL-2988,63,Male,28,50.32,21.43,356.0,3,One year,Mailed check
TEL-2952,27,Female,61,71.74,27.54,270.0,12,Two year,Electronic check
TEL-1975,28,Non-binary,28,49.11,5.09,819.0,1,One year,Electronic check
TEL-2618,30,Male,44,28.81,3.42,75.0,1,One year,Bank transfer
TEL-2114,59,Female,42,35.18,1.86,109.0,0,Month-to-month,Credit card
TEL-2741,29,Female,42,14.7,2.13,98.0,0,Two year,Electronic check
TEL-1206,71,Non-binary,6,82.99,532.18,90.0,1,One year,Mailed check
TEL-1395,19,Male,64,73.74,441.79,53.0,2,Month-to-month,Electronic check
TEL-1272,64,Female,38,93.19,522.39,23.0,0,One year,Credit card
TEL-2879,28,Female,58,55.05,3.71,405.0,7,One year,Electronic check
TEL-2697,77,Female,65,23.0,1.44,94.0,1,Two year,Mailed check
TEL-2178,26,Male,30,26.63,2.24,86.0,0,Month-to-month,Mailed check
TEL-2787,24,Male,21,30.17,3.11,55.0,1,Month-to-month,Electronic check
TEL-2636,30,Male,17,25.08,0.77,81.0,0,Month-to-month,Credit card
TEL-1358,33,Male,34,77.28,421.3,34.0,3,One year,Bank transfer
TEL-2838,67,Non-binary,55,56.55,28.33,375.0,5,Two year,Credit card
TEL-1105,59,Male,66,86.36,472.53,78.0,2,One year,Mailed check
TEL-1392,30,Female,46,80.11,460.25,47.0,1,Month-to-month,Bank transfer
TEL-2471,79,Male,25,15.31,1.8,100.0,1,Two year,Bank transfer
TEL-2105,57,Male,13,16.87,0.39,103.0,0,Month-to-month,Electronic check
TEL-1372,41,Female,11,65.01,449.11,20.0,3,Two year,Electronic check
TEL-2727,52,Male,67,24.28,2.24,78.0,0,Two year,Bank transfer
TEL-1924,18,Non-binary,31,34.4,4.23,760.0,0,One year,Bank transfer
TEL-1551,43,Male,63,58.71,3.21,902.0,3,Month-to-month,Credit card
TEL-1207,50,Male,56,88.68,469.56,58.0,1,Month-to-month,Bank transfer
TEL-1281,65,Female,54,77.61,447.78,71.0,0,Two year,Credit card
TEL-1596,67,Male,67,41.16,2.57,753.0,0,Two year,Bank transfer
TEL-1580,20,Female,4,57.78,3.55,989.0,2,Two year,Mailed check
TEL-1886,24,Female,22,45.02,1.78,654.0,4,Month-to-month,Mailed check
TEL-2136,82,Male,46,28.23,2.34,154.0,1,One year,Bank transfer
TEL-1947,76,Non-binary,26,38.65,8.31,821.0,3,One year,Mailed check
TEL-1316,77,Non-binary,66,70.04,466.58,47.0,1,Month-to-month,Bank transfer
TEL-2028,43,Male,45,19.73,1.19,65.0,2,One year,Bank transfer
TEL-1307,79,Non-binary,20,91.0,452.39,53.0,1,Month-to-month,Bank transfer
TEL-2859,24,Non-binary,52,70.34,30.57,367.0,9,Month-to-month,Credit card
TEL-2199,42,Female,4,30.7,1.73,78.0,0,One year,Electronic check
TEL-2440,54,Male,6,31.21,1.41,90.0,1,Two year,Mailed check
TEL-2463,25,Male,3,33.22,1.27,129.0,0,One year,Bank transfer
TEL-1121,62,Male,62,73.78,417.42,72.0,1,One year,Bank transfer
TEL-2871,22,Female,41,86.31,22.78,215.0,10,Two year,Bank transfer
TEL-2336,61,Female,72,20.0,2.17,108.0,2,Month-to-month,Mailed check
TEL-2858,79,Non-binary,14,60.65,13.67,392.0,10,Month-to-month,Electronic check
TEL-2648,61,Female,47,23.78,1.55,64.0,0,Two year,Mailed check
TEL-1211,42,Non-binary,18,87.14,313.04,51.0,1,One year,Mailed check
TEL-1709,57,Non-binary,20,45.23,3.94,1020.0,1,Two year,Credit card
TEL-2798,42,Male,59,25.99,0.53,55.0,1,Two year,Mailed check
TEL-2731,61,Female,40,14.36,3.91,83.0,1,Two year,Electronic check
TEL-1444,56,Male,72,44.94,2.15,980.0,3,Two year,Bank transfer
TEL-2946,67,Male,52,60.23,15.57,210.0,10,Two year,Bank transfer
TEL-2867,38,Male,42,63.67,27.19,319.0,6,Month-to-month,Mailed check
TEL-1752,34,Female,28,42.61,5.21,721.0,2,Two year,Credit card
TEL-1293,62,Non-binary,65,92.24,516.69,40.0,0,One year,Bank transfer
TEL-1807,50,Female,23,50.09,6.92,827.0,1,One year,Bank transfer
TEL-2414,72,Non-binary,45,14.19,1.93,167.0,0,One year,Mailed check
TEL-2681,52,Female,16,27.19,1.79,117.0,2,One year,Electronic check
TEL-1794,83,Female,5,45.99,9.44,676.0,3,Month-to-month,Bank transfer
TEL-1692,43,Non-binary,61,52.87,2.34,709.0,2,Month-to-month,Mailed check
TEL-1934,72,Non-binary,2,60.83,-0.4,878.0,2,Month-to-month,Electronic check
TEL-2054,42,Male,5,19.93,1.54,101.0,0,One year,Credit card
TEL-2128,79,Male,42,25.62,1.72,96.0,0,One year,Credit card
TEL-2337,70,Female,56,28.7,1.61,26.0,0,One year,Bank transfer
TEL-1872,32,Male,52,52.74,3.79,730.0,0,One year,Mailed check
TEL-1330,34,Non-binary,16,83.71,498.69,97.0,0,Two year,Electronic check
TEL-1296,25,Non-binary,47,73.0,417.94,54.0,2,Month-to-month,Bank transfer
TEL-2376,50,Female,25,25.43,0.57,129.0,0,One year,Electronic check
TEL-1415,29,Non-binary,15,47.98,7.41,658.0,4,Month-to-month,Credit card
TEL-2328,34,Male,15,30.76,2.32,78.0,2,Two year,Bank transfer
TEL-1582,29,Non-binary,27,50.53,2.71,556.0,1,Month-to-month,Credit card
TEL-2814,38,Male,70,64.61,21.69,328.0,5,Month-to-month,Mailed check
TEL-2915,49,Non-binary,14,57.77,12.87,293.0,9,Two year,Mailed check
TEL-1703,79,Female,49,55.74,6.52,1077.0,3,Two year,Mailed check
TEL-2570,30,Female,42,21.92,1.27,109.0,0,One year,Bank transfer
TEL-2079,43,Non-binary,54,30.36,1.65,86.0,0,One year,Credit card
TEL-2657,32,Male,64,30.4,3.27,84.0,0,One year,Credit card
TEL-1646,43,Non-binary,56,48.5,5.22,687.0,0,One year,Bank transfer
